Date,Time,Baseline
8/20/2021,8:00,46087.06
8/20/2021,9:00,48287.4
8/20/2021,10:00,51523.2
8/20/2021,11:00,55675.91
8/20/2021,12:00,59357.71
8/20/2021,13:00,62406.96
8/20/2021,14:00,65250.69
8/20/2021,15:00,67275.03
8/20/2021,16:00,68125.87
8/20/2021,17:00,68315.61
8/20/2021,18:00,67344.88
8/20/2021,19:00,65073.29
8/20/2021,20:00,62188.06
8/20/2021,21:00,60357.57
8/20/2021,22:00,58110.31
8/20/2021,23:00,54708.34
8/20/2021,24:00:00,51433.68
8/21/2021,1:00,48107.85
8/21/2021,2:00,45694.04
8/21/2021,3:00,44041.13
8/21/2021,4:00,42855.25
8/21/2021,5:00,42267.43
8/21/2021,6:00,41905.4
8/21/2021,7:00,42203.63
8/21/2021,8:00,42595.9
8/21/2021,9:00,45066.34
8/21/2021,10:00,48843.34
8/21/2021,11:00,52908.92
8/21/2021,12:00,56879.77
8/21/2021,13:00,60150.64
8/21/2021,14:00,62589.25
8/21/2021,15:00,64341.53
8/21/2021,16:00,65674.86
8/21/2021,17:00,65838.57
8/21/2021,18:00,64642.62
8/21/2021,19:00,62952.78
8/21/2021,20:00,60312.15
8/21/2021,21:00,58831.67
8/21/2021,22:00,56496.17
8/21/2021,23:00,53738.89
8/21/2021,24:00:00,50284.26
8/22/2021,1:00,47614.54
8/22/2021,2:00,45685.2
8/22/2021,3:00,43885.38
8/22/2021,4:00,42578.84
8/22/2021,5:00,41681.64
8/22/2021,6:00,41150.24
8/22/2021,7:00,41002.97
8/22/2021,8:00,41293.84
8/22/2021,9:00,43858.35
8/22/2021,10:00,47496.28
8/22/2021,11:00,51681.08
8/22/2021,12:00,55573.52
8/22/2021,13:00,58687.87
8/22/2021,14:00,61209.61
8/22/2021,15:00,63320.26
8/22/2021,16:00,64428.76
8/22/2021,17:00,64801.96
8/22/2021,18:00,65191.29
8/22/2021,19:00,63554.97
8/22/2021,20:00,61127.85
8/22/2021,21:00,60413.54
8/22/2021,22:00,58078.23
8/22/2021,23:00,54190.54
8/22/2021,24:00:00,50336.1
